מושג,ביאור,פרק
הצהרת בלפור,מכתב המודיע על החלטת ממשלת בריטניה לקדם הקמת בית לאומי לעם היהודי בארץ ישראל.,רקע היסטורי והכרזת העצמאות
כתב המנדט,הסמכה לבריטניה על ידי חבר הלאומים ב-1922 להקמת בית לאומי לעם היהודי בארץ ישראל.,רקע היסטורי והכרזת העצמאות
החלטה 181 - תכנית החלוקה,"החלטה להקים בתוך החלק שנותר מן המנדט בארץ ישראל המערבית, מדינה יהודית ומדינה ערבית.",רקע היסטורי והכרזת העצמאות
הצדקות היסטוריות,"הצדקות הקשורות לאירועים היסטוריים כמו הקשר העתיק לארץ ויצירת התנ""ך בה.",רקע היסטורי והכרזת העצמאות
הצדקות המשפטיות,הצדקה להקמת מדינה הנובעת מתמיכה/הכרה בינלאומית בזכות העם היהודי למדינה בארץ ישראל.,רקע היסטורי והכרזת העצמאות
הצדקה טבעית/אוניברסאלית,הצדקה הנובעת מהזכות הטבעית והאוניברסלית של כל עם להגדרה עצמית.,רקע היסטורי והכרזת העצמאות
מאפיינים יהודיים,"בהכרזה בא לידי ביטוי האופי היהודי בשם המדינה, בפתיחת שעריה לכל יהודי ושימוש בתאריך עברי.",מאפייני המדינה ופניות
מאפיינים דמוקרטיים,הבטחה לשוויון זכויות חברתי ומדיני לכל אזרחיה ללא הבדל דת גזע ומין.,מאפייני המדינה ופניות
פניות לגורמים שונים (לערבים),"פנייה לערבים תושבי המדינה לשמור על השלום, לקחת חלק בהקמת המדינה על יסוד אזרחות מלאה ושווה.",מאפייני המדינה ופניות
עקרון שלטון העם,עקרון יסוד בו כלל האזרחים הם הריבון/מקור הסמכות והם בוחרים נציגים.,עקרונות דמוקרטיים ובחירות
בחירות דמוקרטיות,"הליך המאפשר חילופי שלטון המותנה בחמישה תנאים: כלליות, חשאיות, מחזוריות, שוויוניות, התמודדות חופשית.",עקרונות דמוקרטיים ובחירות
שוויוניות,קולו של כל מצביע שווה למשנהו.,עקרונות דמוקרטיים ובחירות
חשאיות,"איש מלבד הבוחר לא יודע במי בחר, דבר המבטיח שהבוחר לא יושפע מלחצים.",עקרונות דמוקרטיים ובחירות
שיטת בחירות ארצית,כל הארץ מהווה אזור בחירה אחד לצורך חישוב תוצאות הבחירות.,עקרונות דמוקרטיים ובחירות
שיטת בחירות יחסית,חלוקת המושבים בפרלמנט יחסית למספר הקולות שבהם זכתה כל רשימת מועמדים/כל מפלגה.,עקרונות דמוקרטיים ובחירות
שיטת בחירות רשימתית,המצביעים בוחרים במפלגה שלה רשימת מועמדים קבועה מראש או המושפעת מהצבעת הבוחרים.,עקרונות דמוקרטיים ובחירות
אחוז החסימה,מטרתו להגביל את מספר המפלגות המיוצגות בבית הנבחרים.,עקרונות דמוקרטיים ובחירות
עקרון הכרעת הרוב,עקרון הקובע שמתוך כמה אפשרויות נבחרת זו שרוב האוכלוסייה/הנציגים/המצביעים תומכים בה.,עקרונות דמוקרטיים ובחירות
עריצות הרוב,שימוש לרעה בעקרון הכרעת הרוב/ הרוב מנצל את כוחו לרעה.,עקרונות דמוקרטיים ובחירות
הרשות המחוקקת,"תפקידה העיקרי הוא חקיקת חוקים, והיא מייצגת את ריבונות האזרחים.",מוסדות השלטון ופיקוח
תפקידי הכנסת,הכנסת בוחרת/ממנה בכירים כמו נשיא המדינה ומבקר המדינה.,מוסדות השלטון ופיקוח
מליאה / ועדות,במליאה חברים כל 120 חברי הכנסת. בוועדות הייצוג נקבע לפי היחס של הסיעות בכנסת.,מוסדות השלטון ופיקוח
ועדות הכנסת,"הוועדות דנות בתחומים מוגדרים ועוסקות בדיון על פרטי הצעות חוק, ניסוחן והיוועצות עם מומחים.",מוסדות השלטון ופיקוח
מליאה,"הנושאים העיקריים הנדונים במליאה: הצעה לסדר יום, שאילתה, הצעת חוק או הצעת אי אמון.",מוסדות השלטון ופיקוח
הצעת אי אמון,כלי לפיקוח המאפשר לפרלמנט להביא לסיום כהונת הממשלה.,מוסדות השלטון ופיקוח
חוק התקציב,קובע את תקציב המדינה לשנה (או שנתיים) ומהווה כלי לפיקוח על סדר קדימויות הממשלה.,מוסדות השלטון ופיקוח
